company_location,count,percentage,country_name
AND,1,0.006368615462998345,Andorra
ARE,3,0.019105846388995033,United Arab Emirates
ARM,1,0.006368615462998345,Armenia
ARG,13,0.08279200101897848,Argentina
AUT,9,0.05731753916698509,Austria
AUS,47,0.29932492676092215,Australia
BEL,4,0.02547446185199338,Belgium
BRA,13,0.08279200101897848,Brazil
CAN,429,2.7321360336262894,Canada
CAF,2,0.01273723092599669,Central African Republic
CHE,8,0.05094892370398676,Switzerland
CHL,1,0.006368615462998345,Chile
COL,13,0.08279200101897848,Colombia
CZE,1,0.006368615462998345,Czechia
DEU,80,0.5094892370398676,Germany
DZA,1,0.006368615462998345,Algeria
ECU,1,0.006368615462998345,Ecuador
EST,11,0.07005477009298178,Estonia
EGY,10,0.06368615462998345,Egypt
ESP,118,0.7514966246338046,Spain
FIN,5,0.031843077314991725,Finland
FRA,54,0.3439052350019106,France
GBR,601,3.8275378932620048,United Kingdom
GRC,13,0.08279200101897848,Greece
HKG,1,0.006368615462998345,Hong Kong
HRV,3,0.019105846388995033,Croatia
HUN,2,0.01273723092599669,Hungary
IDN,2,0.01273723092599669,Indonesia
IRL,15,0.09552923194497516,Ireland
ISR,4,0.02547446185199338,Israel
IND,38,0.24200738759393708,India
IRN,1,0.006368615462998345,Iran
ITA,9,0.05731753916698509,Italy
JPN,5,0.031843077314991725,Japan
KEN,2,0.01273723092599669,Kenya
LTU,20,0.1273723092599669,Lithuania
LUX,3,0.019105846388995033,Luxembourg
LVA,14,0.08916061648197682,Latvia
MLT,1,0.006368615462998345,Malta
MEX,15,0.09552923194497516,Mexico
MYS,1,0.006368615462998345,Malaysia
NGA,1,0.006368615462998345,Nigeria
NLD,34,0.21653292574194372,Netherlands
NOR,2,0.01273723092599669,Norway
NZL,6,0.03821169277799007,New Zealand
OMN,1,0.006368615462998345,Oman
PHL,4,0.02547446185199338,Philippines
POL,12,0.07642338555598013,Poland
PRI,4,0.02547446185199338,Puerto Rico
PRT,18,0.11463507833397019,Portugal
QAT,1,0.006368615462998345,Qatar
ROU,3,0.019105846388995033,Romania
SRB,2,0.01273723092599669,Serbia
RUS,2,0.01273723092599669,Russia
SWE,1,0.006368615462998345,Sweden
SGP,1,0.006368615462998345,Singapore
SVN,5,0.031843077314991725,Slovenia
THA,2,0.01273723092599669,Thailand
TUR,9,0.05731753916698509,Türkiye
UKR,8,0.05094892370398676,Ukraine
USA,13997,89.14151063558784,United States
VNM,4,0.02547446185199338,Vietnam
ZAF,10,0.06368615462998345,South Africa
